@ ccode	cname	superpwr	butterw	kende	ssm_is	ssm_es	ssis6074	sses6074	ssis7580	sses7580	ssal6080	ssal6074	ssal7580	poldem60	poldem65	civil73	polit73	civil79	polit79	fh73	fh75_80	dembin	area	defexd	defexdpc	encon	enconpc	gnppc	gdppc	impexppc	impexp	ecintdep	tvpc	szmil	szmilpc	popltn	larea	lpopltn	lszmil	lszmilpc	ltvpc	lecintd	limpexpc	limpexp	lencnpc	lgdppc	milwp70	popln70	ecnpc70	trade75	lmilwp70	lpopln70	lecnpc70 @
94	Costa_Rica	0	0	0	0	0	0	0	0	0	0	0	0	91.3	90.1	1	1	1	1	14	14	1	20	5006	288	710	409	522	481	31548	54800	0.604	5757	1	5	1737	1.301	3.24	0	0.699	3.76	-0.219	4.499	4.739	2.612	2.682	2.2	1737	403	62.8	0.3424	3.2398	2.6053
95	Panama	0	0	0	0	0	0	0	0	0	0	0	0	75.4	76.9	6	7	5	5	3	4.5	0	29	.	.	980	684	685	633	31693	46400	0.463	9631	0	0	1464	1.462	3.166	0	0	3.984	-0.335	4.501	4.667	2.835	2.801	6.5	1458	672	55.9	0.8129	3.1638	2.8274
100	Colombia	0	0	2	0	0	0	0	0	0	0	0	0	69.7	71.4	2	2	3	2	12	11.5	0	440	160691	760	13760	651	362	339	7477	157900	0.207	3835	64	30	21117	2.643	4.325	1.806	1.477	3.584	-0.685	3.874	5.198	2.814	2.53	4.0	22075	575	21.7	0.6021	4.3439	2.7597
101	Venezuela	0	0	0	0	0	0	0	0	0	0	0	0	72.5	73.4	2	2	2	1	12	12.5	0	352	182401	1754	26760	2573	1026	1055	42350	440400	0.413	7630	31	29	10399	2.547	4.017	1.491	1.462	3.883	-0.384	4.627	5.644	3.41	3.023	8.5	10559	2420	51.7	0.9294	4.0236	3.3838
130	Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	84.3	44.6	3	7	3	5	6	7	0	110	26985	442	1790	293	260	240	7943	48400	0.306	2461	20	32	6093	2.041	3.785	1.301	1.505	3.391	-0.515	3.9	4.685	2.467	2.38	5.2	6031	297	44.0	0.7160	3.7804	2.4728
135	Peru	0	0	1	0	0	0	0	0	0	0	0	0	83.4	87	5	7	4	5	4	5.5	0	496	140476	1033	8550	629	305	276	12240	166300	0.401	2907	55	40	13586	2.695	4.133	1.74	1.602	3.463	-0.397	4.088	5.221	2.799	2.441	11.5	13248	649	36.7	1.0607	4.1222	2.8122
140	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	90.5	60.9	5	5	4	4	6	7	0	3286	793794	849	44640	468	381	301	5983	558800	0.157	6531	194	20	93390	3.517	4.97	2.288	1.301	3.815	-0.804	3.777	5.747	2.67	2.479	7.3	95204	469	20.2	0.8633	4.9787	2.6712
145	Bolivia	0	0	1	0	0	0	0	0	0	0	0	0	59.8	36.2	4	5	3	5	7	7.5	0	424	14876	301	950	217	201	197	7077	34900	0.352	74	22	44	4931	2.627	3.693	1.342	1.643	1.869	-0.453	3.85	4.543	2.336	2.294	6.6	4780	199	49.2	0.8195	3.6794	2.2989
150	Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	39.1	44.7	6	4	5	5	6	6	0	157	11562	484	330	125	244	232	5364	12800	0.22	754	20	83	2386	2.196	3.378	1.301	1.919	2.877	-0.658	3.729	4.107	2.097	2.365	17.1	2301	143	24.6	1.2330	3.3619	2.1553
155	Chile	0	0	0	0	0	0	0	0	0	0	0	0	99.7	97	2	1	5	6	13	9	0	292	67151	690	12490	1277	651	612	22407	217800	0.344	5144	61	62	9720	2.465	3.988	1.785	1.792	3.711	-0.463	4.35	5.338	3.106	2.787	13.1	9369	1335	31.5	1.1173	3.9717	3.1255
160	Argentina	0	0	0	0	0	0	0	0	0	0	0	0	62.7	52.6	3	6	5	6	7	6	0	1072	738133	3179	39240	1688	872	777	14936	346700	0.171	15078	137	59	23212	3.03	4.366	2.137	1.771	4.178	-0.766	4.174	5.54	3.227	2.89	9.3	23748	1652	17.6	0.9685	4.3756	3.2180
165	Uruguay	0	0	0	0	0	0	0	0	0	0	0	0	99.8	99.6	4	3	6	6	9	6.5	0	72	.	.	2620	908	820	668	16146	46600	0.197	9875	15	51	2886	1.857	3.46	1.176	1.708	3.995	-0.706	4.208	4.668	2.958	2.825	9.7	2955	890	26.1	0.9868	3.4706	2.9494
200	United_Kingdom	0	4	5	0	0	0	0	0	0	0	0	0	99.3	99.1	1	1	1	1	14	14	1	94	5883392	10617	299360	5362	2086	1711	74129	4107500	0.355	29445	390	70	55410	1.973	4.744	2.591	1.845	4.469	-0.449	4.87	6.614	3.729	3.233	10.8	55480	5411	46.1	1.0334	4.7441	3.7333
205	Ireland	0	1	0	0	0	0	0	0	0	0	0	0	94.8	97.2	2	1	1	1	13	13.5	1	27	39195	1328	9020	2991	1212	989	88576	261300	0.731	15152	13	44	2950	1.431	3.47	1.114	1.643	4.18	-0.136	4.947	5.417	3.476	2.995	4.7	2954	3054	93.3	0.6721	3.4704	3.4849
